"date","usd_rate","Open","High","Low","Vol.","Change %"
"05/26/2025","41.6416","41.4099","41.6416","41.3368","","0.49%"
"05/25/2025","41.4403","41.4403","41.4403","41.4403","","-0.19%"
"05/23/2025","41.5200","41.4750","41.6195","41.3980","","0.05%"
"05/22/2025","41.5010","41.4650","41.6230","41.3725","","0.08%"
"05/21/2025","41.4675","41.4700","41.5939","41.3630","","-0.10%"
"05/20/2025","41.5100","41.5000","41.6270","41.3650","","0.02%"
"05/19/2025","41.5000","41.5000","41.6603","41.2550","","-0.06%"
"05/16/2025","41.5250","41.5000","41.6256","41.3806","","0.13%"
"05/15/2025","41.4700","41.5000","41.5995","41.3800","","-0.04%"
"05/14/2025","41.4875","41.5550","41.6420","41.3905","","-0.14%"
"05/13/2025","41.5450","41.4750","41.6295","41.3823","","0.08%"
"05/12/2025","41.5100","41.5550","41.6431","41.4050","","-0.10%"
"05/09/2025","41.5500","41.5500","41.6409","41.4005","","0.00%"
"05/08/2025","41.5510","41.5500","41.6403","41.3830","","0.21%"
"05/07/2025","41.4650","41.4150","41.5829","41.3155","","0.02%"
"05/06/2025","41.4550","41.5500","41.6150","41.2145","","-0.21%"
"05/05/2025","41.5425","41.6500","41.7320","41.4715","","0.13%"
"05/02/2025","41.4870","41.4870","41.7832","41.4495","","0.00%"
"05/01/2025","41.4870","41.4870","41.6850","41.4240","","0.00%"
"04/30/2025","41.4870","41.5500","41.6304","41.2550","","-0.25%"
"04/29/2025","41.5900","41.7000","41.7520","41.2550","","-0.24%"
"04/28/2025","41.6881","41.6750","41.8757","41.5825","","-0.30%"
"04/25/2025","41.8150","41.6750","41.8358","41.6055","","0.24%"
"04/24/2025","41.7151","41.7450","41.8173","41.5430","","-0.11%"
"04/23/2025","41.7600","41.5400","41.7855","41.4650","","0.37%"
"04/22/2025","41.6050","41.4100","41.6250","41.2650","","0.51%"
"04/21/2025","41.3940","41.3550","41.4738","41.2080","","0.20%"
"04/18/2025","41.3100","41.3650","41.4868","41.1488","","-0.19%"
"04/17/2025","41.3900","41.3050","41.4650","41.1600","","0.22%"
"04/16/2025","41.2992","41.2000","41.3531","41.0665","","0.34%"
"04/15/2025","41.1600","41.4500","41.4500","41.1576","","-0.22%"
"04/14/2025","41.2500","41.3550","41.4958","41.2451","","-0.17%"
"04/11/2025","41.3200","41.4500","41.5042","41.3370","","-0.24%"
"04/10/2025","41.4200","41.3100","41.4414","41.2000","","0.27%"
"04/09/2025","41.3100","41.2000","41.5012","41.1805","","0.36%"
"04/08/2025","41.1600","41.0800","41.1970","41.0660","","0.19%"
"04/07/2025","41.0800","41.1700","41.2500","41.0250","","-0.05%"
"04/04/2025","41.1000","41.3000","41.3138","41.1195","","-0.32%"
"04/03/2025","41.2300","41.3500","41.4433","41.2155","","-0.22%"
